date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:18	129612/129612	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-brands-400.ttf	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-brands-400.ttf	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:21	74768/74768	---M--	200	added ('OK')	font/woff2	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-brands-400.woff2	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-brands-400.woff2	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:22	34388/34388	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-regular-400.eot	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-regular-400.eot	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:24	87688/87688	---M--	200	added ('OK')	font/woff	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-brands-400.woff	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-brands-400.woff	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:24	34388/34388	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-regular-400d41d.eot?	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-regular-400d41dd41d.eot	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:24	13552/13552	---M--	200	added ('OK')	font/woff2	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-regular-400.woff2	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-regular-400.woff2	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:26	34092/34092	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-regular-400.ttf	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-regular-400.ttf	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:26	145254/145254	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-regular-400.svg	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-regular-400.svg	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:28	16804/16804	---M--	200	added ('OK')	font/woff	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-regular-400.woff	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-regular-400.woff	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:34	698042/698042	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-brands-400.svg	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-brands-400.svg	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:36	186728/186728	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-solid-900d41d.eot?	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-solid-900d41dd41d.eot	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:37	74256/74256	---M--	200	added ('OK')	font/woff2	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-solid-900.woff2	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-solid-900.woff2	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
